,id,time,value,hisvalue,dayrate
0,0.0,2017-07-25,1.3190,1.6140,0.00%
1,1.0,2017-07-24,1.3190,1.6140,0.46%
2,2.0,2017-07-21,1.3130,1.6080,-0.38%
3,3.0,2017-07-20,1.3180,1.6130,0.08%
4,4.0,2017-07-19,1.3170,1.6120,0.69%
5,5.0,2017-07-18,1.3080,1.6030,0.77%
6,6.0,2017-07-17,1.2980,1.5930,-0.08%
7,7.0,2017-07-14,1.2990,1.5940,0.46%
8,8.0,2017-07-13,1.2930,1.5880,0.39%
9,9.0,2017-07-12,1.2880,1.5830,0.78%
10,10.0,2017-07-11,1.2780,1.5730,0.79%
11,11.0,2017-07-10,1.2680,1.5630,0.56%
12,12.0,2017-07-07,1.2610,1.5560,0.32%
13,13.0,2017-07-06,1.2570,1.5520,-0.16%
14,14.0,2017-07-05,1.2590,1.5540,0.72%
15,15.0,2017-07-04,1.2500,1.5450,-0.56%
16,16.0,2017-07-03,1.2570,1.5520,0.32%
17,17.0,2017-06-30,1.2530,1.5480,-0.56%
18,18.0,2017-06-29,1.2600,1.5550,-0.71%
19,19.0,2017-06-28,1.2690,1.5640,-0.08%
20,20.0,2017-06-27,1.2700,1.5650,-0.47%
21,21.0,2017-06-26,1.2760,1.5710,0.24%
22,22.0,2017-06-23,1.2730,1.5680,0.32%
23,23.0,2017-06-22,1.2690,1.5640,0.08%
24,24.0,2017-06-21,1.2680,1.5630,0.48%
25,25.0,2017-06-20,1.2620,1.5570,-0.08%
26,26.0,2017-06-19,1.2630,1.5580,1.28%
27,27.0,2017-06-16,1.2470,1.5420,0.32%
28,28.0,2017-06-15,1.2430,1.5380,-0.80%
29,29.0,2017-06-14,1.2530,1.5480,0.24%
30,30.0,2017-06-13,1.2500,1.5450,0.32%
31,31.0,2017-06-12,1.2460,1.5410,-0.95%
32,32.0,2017-06-09,1.2580,1.5530,-0.55%
33,33.0,2017-06-08,1.2650,1.5600,0.96%
34,34.0,2017-06-07,1.2530,1.5480,0.40%
35,35.0,2017-06-06,1.2480,1.5430,-0.08%
36,36.0,2017-06-05,1.2490,1.5440,-0.08%
