,fund_id,fund_num,fund_name,fund_onevalue,fund_time,fund_1year,fund_2year,fund_3year,fund_5year,fund_star,fund_fee
0,1,002534,华安稳固收益债券A,1.6040,07-25,27.35%,--,--,--,0,0.08%
1,2,161725,招商中证白酒指数分级,1.3270,07-25,26.85%,49.24%,--,--,0,0.10%
2,3,241001,华宝海外中国混合(QDII),1.6820,07-24,26.76%,35.22%,30.26%,37.87%,0,0.15%
3,4,110022,易方达消费行业,1.9160,07-25,26.46%,43.09%,52.35%,79.87%,4,0.15%
4,5,001542,国泰互联网+股票,1.6930,07-25,26.43%,--,--,--,0,0.15%
5,6,002803,东方红沪港深混合,1.3650,07-25,25.19%,--,--,--,0,0.60%
6,7,000988,嘉实全球互联网股票人民币,1.3820,07-24,24.35%,38.02%,--,--,0,0.15%
7,8,000742,国泰新经济灵活配置混合,2.0950,07-25,24.01%,37.95%,--,--,0,0.15%
8,9,001878,嘉实沪港深精选股票,1.5250,07-25,23.15%,--,--,--,0,0.15%
9,10,040008,华安策略优选混合,1.4137,07-25,23.05%,30.29%,44.28%,81.28%,4,0.15%
10,11,000934,国富大中华精选混合,1.2520,07-24,22.88%,37.70%,--,--,0,0.15%
11,12,519606,国泰金鑫,1.7460,07-25,22.79%,34.10%,--,--,0,0.15%
12,13,001740,光大中国制造2025混合,1.2830,07-25,22.03%,--,--,--,0,0.15%
13,14,167301,方正富邦保险主题指数分级,1.2020,07-25,21.98%,--,--,--,0,0.08%
14,15,020026,国泰成长优选混合,3.3130,07-25,21.85%,38.39%,53.02%,111.39%,4,0.15%
15,16,000457,上投摩根核心成长,1.9600,07-25,21.82%,34.29%,47.13%,--,0,0.15%
16,17,540012,汇丰晋信恒生龙头指数A,1.7665,07-25,21.54%,29.87%,34.60%,--,0,0.12%
17,18,001112,东方红中国优势混合,1.3320,07-25,21.28%,31.65%,--,--,0,0.60%
18,19,000041,华夏全球精选,0.9990,07-24,20.98%,27.89%,23.64%,23.78%,0,0.16%
19,20,165312,建信央视50,1.6473,07-25,20.62%,30.16%,37.12%,--,0,0.12%
20,21,001281,长安鑫利优选混合A,1.3758,07-25,20.60%,24.94%,--,--,0,0.15%
21,22,180012,银华富裕主题混合,2.3597,07-25,20.56%,36.54%,50.95%,84.30%,5,0.15%
22,23,001410,信达澳银新能源产业股票,1.3360,07-25,20.46%,--,--,--,0,0.15%
23,24,002072,长安鑫利优选混合C,1.3734,07-25,20.38%,--,--,--,0,0.00%
24,25,310398,申万菱信沪深300价值指数,1.4931,07-25,19.74%,27.21%,33.95%,62.92%,0,0.12%
25,26,519690,交银稳健配置混合A,1.3919,07-25,19.60%,21.28%,28.89%,53.74%,4,0.15%
26,27,160127,南方新兴消费分级,1.1210,07-25,19.54%,35.41%,46.17%,78.60%,5,0.15%
27,28,481012,工银深证红利联接,1.2194,07-25,19.39%,27.68%,35.75%,66.02%,0,0.10%
28,29,000312,华安沪深300增强A,1.8204,07-25,19.33%,26.46%,31.80%,--,0,0.12%
29,30,001811,中欧明睿新常态混合,1.1780,07-25,19.25%,--,--,--,0,0.15%
30,31,376510,上投大盘蓝筹,1.6550,07-25,19.24%,21.01%,26.95%,48.15%,3,0.15%
31,32,002666,前海开源沪港深创新成长混合A,1.1850,07-25,19.18%,--,--,--,0,0.15%
32,33,000313,华安沪深300增强C,1.7803,07-25,19.05%,25.89%,30.73%,--,0,0.00%
33,34,001712,东方红优势精选混合,1.2520,07-25,19.04%,--,--,--,0,0.60%
34,35,001974,景顺长城量化新动力股票,1.3100,07-25,19.03%,--,--,--,0,0.15%
35,36,519671,银河沪深300价值,1.4550,07-25,18.95%,26.02%,32.38%,61.46%,0,0.12%
36,37,160716,嘉实基本面50,1.4624,07-25,18.90%,28.06%,39.30%,76.64%,0,0.12%
37,38,002667,前海开源沪港深创新成长混合C,1.1790,07-25,18.86%,--,--,--,0,0.15%
38,39,377240,上投摩根新兴动力混合A,2.6290,07-25,18.70%,20.70%,26.64%,52.65%,2,0.15%
39,40,000751,嘉实新兴产业股票,1.8700,07-25,18.69%,24.35%,--,--,0,0.15%
40,41,519066,汇添富蓝筹稳健,2.2440,07-25,18.61%,25.57%,45.52%,87.38%,5,0.15%
41,42,519196,万家新兴蓝筹灵活配置混合,1.3493,07-25,18.59%,--,--,--,0,0.12%
42,43,530015,建信深证60联接,1.7301,07-25,18.40%,26.10%,35.80%,66.50%,0,0.15%
43,44,070032,嘉实优化红利混合,1.2390,07-25,18.39%,22.39%,41.40%,82.70%,4,0.15%
44,45,165520,信诚中证800有色指数分级,1.2100,07-25,18.29%,24.72%,17.77%,--,0,0.12%
45,46,320010,诺安中证100,1.2100,07-25,18.17%,23.18%,27.44%,49.62%,0,0.12%
46,47,519068,汇添富成长焦点混合,1.7564,07-25,18.15%,24.83%,43.90%,91.40%,4,0.15%
47,48,000619,东方红产业升级混合,2.7090,07-25,18.12%,29.49%,51.67%,--,0,0.60%
48,49,217027,招商央视财经50指数A,1.7880,07-25,18.09%,28.16%,33.68%,--,0,0.12%
